coordinate_id,source,longitude,latitude,year,presence_type,georef_method,source_detail,location_name,state,locality,case_count,reference,notes
72,IFRC_DREF_MDRSD031_2022,35.85408325,12.99704695,2022,facility_report,geocoded_name,,Basunda,Gedaref,,,MDRSD031,Hospital coords
73,IFRC_DREF_MDRSD031_2022,33.54144831,14.14818026,2022,facility_report,geocoded_name,,Um alkhir,Gedaref,,,MDRSD031,"town coords, named Umm Al-Khair on GM"
74,IFRC_DREF_MDRSD031_2022,35.42846209,13.832493,2022,facility_report,geocoded_name,,Kassab,Gedaref,Al Galabat Al Gharbyah - Kassab,,MDRSD031,Hospital coords
75,IFRC_DREF_MDRSD031_2022,35.36916927,14.05933487,2022,facility_report,geocoded_name,,Obstetrical hospital,Gedaref,,,MDRSD031,Hospital coords
76,IFRC_DREF_MDRSD031_2022,35.38788452,14.0395699,2022,facility_report,geocoded_name,,Gadaref hospital,Gedaref,,,MDRSD031,Hospital coords
77,Adam_et_al_2014,35.42846209,13.832493,2013,facility_report,geocoded_name,,Kassab Hospital,,,,10.5144/0256-4947.2014.143,
78,Elnoor_et_al_2024,32.49389054,15.64233691,2020,facility_report,geocoded_name,,Tropical Disease Teaching Hospital ,Omdurman,,,10.12998/wjcc.v12.i30.6374,
79,Hassan_et_al_2008,35.4833,12.6025,2005,vector_pos,published_coord,,Dinder National Park,,,,10.1179/136485908X311803,
80,Jibreel_et_al_2023,36.1347,13.6516,2015,vector_pos,published_coord,,Berber-Alfugara,,,,10.1111/mve.12683,
81,Jibreel_et_al_2023,35.1511,12.8799,2020,vector_pos,published_coord,,Helat-Belo,,,,10.1111/mve.12683,
82,Khogali_et_al_2024,35.1511,12.8799,2018,vector_pos,published_coord,,Helat-Belo,,,,10.3390/tropicalmed9020040,
83,Mohammed_et_al_2018,26.2503,15.228,2013,vector_pos,published_coord,,Al-Malha,,,,10.1186/s13071-018-2746-3,
