"longitude","latitude","year","source","state","region","suitability"
34.95673,13.0371,2013,"hassan_et_al_2020_fig2","Al Qadarif","East",0.736070334911346
32.08722,14.63362,2013,"hassan_et_al_2020_fig3","White Nile","East",0.442610144615173
32.54,15.89459,2013,"hassan_et_al_2020_fig4","Khartoum","East",0.0658079162240028
36.1347,13.6516,2015,"Jibreel_et_al_2023","Al Qadarif","East",0.625367403030396
25.3101764,13.48865821,2015,"radio_dabanga_pr_2015","North Darfur","West",0.00855383649468422
35.1511,12.8799,2020,"Jibreel_et_al_2023","Al Qadarif","East",0.8117795586586
35.1511,12.8799,2018,"Khogali_et_al_2024","Al Qadarif","East",0.8117795586586
26.2503,15.228,2016,"Mohammed_et_al_2018","North Darfur","West",0.00831342674791813
35.12329,14.05328,2014,"Mohamed_et_al_2019","Al Qadarif","East",0.776415348052979
35.00059,14.01715,2014,"Mohamed_et_al_2019","Al Qadarif","East",0.855552196502686
35.30479,13.9785,2014,"Mohamed_et_al_2019","Al Qadarif","East",0.875821053981781
30.7903815,12.14403013,2014,"radio_dabanga_pr_2014","South Kurdufan","East",0.145682692527771
34.93114201,13.62225011,2024,"sudan_tribune_293846_2024","Al Qadarif","East",0.999975442886353
